DriverId	ADDRESS	CITY	STATE	ZIP	LOCATION
105726	101 W GRAND AVE	CHICAGO	IL	60654-7135	"101 W GRAND AVE
CHICAGO, IL 60654-7135
(41.891594859000065, -87.63122957199994)"
105725	11552 S RACINE AVE	CHICAGO	IL	60643-5135	"11552 S RACINE AVE
CHICAGO, IL 60643-5135
(41.68340927600008, -87.65185741899995)"
105724	1537 N CLAREMONT AVE	CHICAGO	IL	60622-1711	"1537 N CLAREMONT AVE
CHICAGO, IL 60622-1711
(41.90961141500003, -87.68594421999995)"
105723	1149 E 91ST ST	CHICAGO	IL	60619-7933	"1149 E 91ST ST
CHICAGO, IL 60619-7933
(41.72946367600008, -87.59540943799999)"
105722	6205 S ARIZONA AVE	CHANDLER	AZ	85248-6399	"6205 S ARIZONA AVE
CHANDLER, AZ 85248-6399
(33.215740760000074, -111.84108732899995)"
105721	5038 S STATE ST	CHICAGO	IL	60609-5328	"5038 S STATE ST
CHICAGO, IL 60609-5328
(41.80299516600007, -87.62594662199996)"
105720	3534 N WILTON AVE	CHICAGO	IL	60657-1709	"3534 N WILTON AVE
CHICAGO, IL 60657-1709
(41.94646945300008, -87.65309727399995)"
105719	8456 S LAFAYETTE AVE	CHICAGO	IL	60620-1221	"8456 S LAFAYETTE AVE
CHICAGO, IL 60620-1221
(41.740762646000064, -87.62558776299994)"
105718	7514 S WOLCOTT AVE	CHICAGO	IL	60620-5205	"7514 S WOLCOTT AVE
CHICAGO, IL 60620-5205
(41.75701012500008, -87.67090694199999)"
105717	1151 S STATE ST	CHICAGO	IL	60605-2304	"1151 S STATE ST
CHICAGO, IL 60605-2304
(41.86831480800004, -87.62734152099995)"
105716	9540 S VINCENNES AVE	CHICAGO	IL	60643-1455	"9540 S VINCENNES AVE
CHICAGO, IL 60643-1455
(41.72015323900007, -87.65110382699999)"
105714	3103 N CLARK ST	CHICAGO	IL	60657-4413	"3103 N CLARK ST
CHICAGO, IL 60657-4413
(41.93789537200007, -87.64897072199994)"
105713	1716 N WELLS ST	CHICAGO	IL	60614-5806	"1716 N WELLS ST
CHICAGO, IL 60614-5806
(41.913316449000035, -87.63481403899993)"
105711	N4596 DUTCH HOLLOW RD	MONROE	WI	53566-8744	"N4596 DUTCH HOLLOW RD
MONROE, WI 53566-8744
(42.67075116800004, -89.57884364899996)"
105710	248 W DIVERSEY PKWY	CHICAGO	IL	60657-6289	"248 W DIVERSEY PKWY
CHICAGO, IL 60657-6289
(41.921881934000055, -88.21040112599997)"
105708	5100 W ADDISON ST	CHICAGO	IL	60641-3401	"5100 W ADDISON ST
CHICAGO, IL 60641-3401
(41.94606849200005, -87.75459757699997)"
105707	4604 S ASHLAND AVE	CHICAGO	IL	60609-3251	"4604 S ASHLAND AVE
CHICAGO, IL 60609-3251
(41.810209824000026, -87.66503721799995)"
105706	10331 S KEDZIE AVE	CHICAGO	IL	60655-2015	"10331 S KEDZIE AVE
CHICAGO, IL 60655-2015
(41.70523925500004, -87.70126380599999)"
105705	2249 S MARSHALL BLVD	CHICAGO	IL	60623-3568	"2249 S MARSHALL BLVD
CHICAGO, IL 60623-3568
(41.850421003000065, -87.69900418199995)"
105704	1101 S KILBOURN AVE	CHICAGO	IL	60624-3822	"1101 S KILBOURN AVE
CHICAGO, IL 60624-3822
(41.86704745800006, -87.73739380899997)"
105703	79 E CEDAR ST	CHICAGO	IL	60611-1180	"79 E CEDAR ST
CHICAGO, IL 60611-1180
(41.902413110000055, -87.62533995799998)"
105702	5480 W ROOSEVELT RD	CHICAGO	IL	60644-1467	"5480 W ROOSEVELT RD
CHICAGO, IL 60644-1467
(41.86568373700004, -87.76158384799999)"
105701	1 N LA SALLE ST	CHICAGO	IL	60602-3998	"1 N LA SALLE ST
CHICAGO, IL 60602-3998
(41.88228159500005, -87.63237348599995)"
105699	1129 N WELLS ST	CHICAGO	IL	60610-2524	"1129 N WELLS ST
CHICAGO, IL 60610-2524
(41.90301114500005, -87.63439343599998)"
105697	600 N KEDZIE AVE	CHICAGO	IL	60612-1014	"600 N KEDZIE AVE
CHICAGO, IL 60612-1014
(41.89205985800004, -87.70649746999999)"
105696	1161 W 21ST ST	CHICAGO	IL	60608-3352	"1161 W 21ST ST
CHICAGO, IL 60608-3352
(41.853763843000024, -87.65543001599997)"
105694	5859 S HALSTED ST	CHICAGO	IL	60621-2103	"5859 S HALSTED ST
CHICAGO, IL 60621-2103
(41.78713192400005, -87.64494372799999)"
105693	3414 W IRVING PARK RD	CHICAGO	IL	60618-3208	"3414 W IRVING PARK RD
CHICAGO, IL 60618-3208
(41.95389538400008, -87.71350012799996)"
105692	1015 S WESTERN AVE	CHICAGO	IL	60612-4412	"1015 S WESTERN AVE
CHICAGO, IL 60612-4412
(41.86886212100006, -87.68600413799999)"
105691	2407 E 75TH ST	CHICAGO	IL	60649-3715	"2407 E 75TH ST
CHICAGO, IL 60649-3715
(41.75896684200006, -87.56601482099995)"
105690	161 N CLARK ST	CHICAGO	IL	60601-3201	"161 N CLARK ST
CHICAGO, IL 60601-3201
(41.88473308500005, -87.63088750999998)"
